Company_name,Rating,NumberOfUserReview,Type,Location,Region
"Fairlie Place, Eastern Railway Head Office",4.2,"-1,175",Corporate office,"17, Fairlie Pl Rd",Kolkata
Amul Office,4.2,-161,Corporate office,"Salt Lake Stadium Road, IB-197",Kolkata
iMerit Technology,4.3,-429,Corporate office,"Plot No. J4, 4th Floor, Vishnu Chambers",Kolkata
Acknit Industries Limited,4.3,-9,Corporate office,7,Kolkata
NU Vista Limited - Double Bull Cement (Formerly Emami Cement Ltd),4.4,-65,Corporate office,"DLF IT Park, Tower C, 10th Floor, Premises No: 08, Major Arterial Road (South East Extension)",Kolkata
Kre8iveminds Technologies - Website Designing Web Development Company in Kolkata,4.7,-224,Website designer,"16, Gangadhar Babu Lane near Central Metro Station",Kolkata
"Godrej Waterside - Tower 2, Kolkata",4.5,"-1,471",Corporate office,Ring Rd,Kolkata
Central Inland Water Transport Corporation Limited,3.3,-12,Government office,"Tea Transit Sheds, 6, Garden Reach Road, Birju Nala Rd",Kolkata
IFB Industries,4.7,"-1,100",Manufacturer,Taratala Rd,Kolkata
JUVAS,3.4,-29,Electronics manufacturer,"2nd floor, 17, Ezra St",Kolkata
Technopolis Building,4.4,"-5,618",Corporate office,"HCHQ+V3X, Street Number 1",Kolkata
Farinni Leather Private limited,4.8,-5,Back Office,"37, Kala Mandir,, Shakespeare Sarani Rd",Kolkata
Rasoi Court,4.2,-5,Manufacturer,"H992+VV5, Binoy Badal Dinesh Bag E",Kolkata
West Bengal Pharmacy Council,2.8,-455,Pharmaceutical company,"Ground, Purta Bhawan, Sec-1, West Division, Room No.5 & 6",Kolkata
Spencers Retail Limited,4,-131,Corporate office,"1st Floor, Duncan House, 31, Netaji Subhas Rd, opposite Gillander House",Kolkata
PEERLESS BHAVAN,4.4,-61,Corporate office,"H88X+GP2, Esplanade East",Kolkata
Godrej Genesis,3.7,"-1,259",Building design company,Street Number 18,Kolkata
Trivitron Healthcare,,,Medical technology manufacturer,"18, PRD Link Rd",Kolkata
Bandhan Bank Head Office,4.1,-411,Corporate office,"Floor 11, Adventz Infinity, BN 5, Street Number 18",Kolkata
Intelligent Image Management Pvt. Ltd (IIMI),3.3,-92,Corporate office,"ECOSPACE BUSINESS PARK, 4A 7th Floor, Premises",Kolkata
Wipro Tower 1,4.5,-64,Corporate office,"Plot no 1, 7, 8 & 9, Block DM, Sector V, Salt Lake",Kolkata
Millennium City IT Park (Rungta Group),4.5,"-1,332",Corporate office,DN 62,Kolkata
AFF Aromatics Private Limited,2.7,-7,Manufacturer,"No. 43, Door No. 101, Kala Mandir, Century Towers, Shakespeare Sarani Rd",Kolkata
Industrial Boilers Ltd,,,Manufacturer,"On, Topaz, 23, Gobinda Banerjee Lane, Prince Anwar Shah Rd",Kolkata
Pinnacle Infotech Solutions,4.3,635,Corporate office,Sahid Sukumar Banerjee Sarani,Durgapur
Swadesh Softwares Pvt. Ltd - Custom Software Development Company in Durgapur,4,186,Software company,"UCP, 016, Ambedkar Sarani",Durgapur
Webel IT PARK - Durgapur,4.2,566,Corporate office,,Durgapur
Toolsvilla.com,4.4,"1,727",E - Commerce Agency,"Ananda Gopal Mukherjee Sarani Rd, opposite HDFC Bank",Durgapur
Shyam Steel Industries Ltd.,4.2,121,Manufacturer,Burdwan District Angadpur Raturia,Durgapur
alstom office,4.1,15,Corporate office,G8FH+67V,Durgapur
Alloy Steels Plant,4.3,67,Manufacturer,G7H9+7PF,Durgapur
Lnt Durgapur,4.3,31,Corporate office,,Durgapur
"Zonal Ordanance Factory, CISF DSP DURGAPUR",4.8,4,Electronics store,,Durgapur
KMC & COMPANY,5,4,Corporate office,,Durgapur
"D P L POWER PLANT, Durgapur",4.1,31,Power station,,Durgapur
J,,,Engineering consultant,,Durgapur
SS Solution | Durgapur,3.6,52,Corporate office,AS-4/11 54 Feet Road Near Ashiyana Bhavan,Durgapur
Durgapur,,,Home automation company,,Durgapur
Adken Global Pvt ltd,,,Business networking company,,Durgapur
SAIL - Durgapur Steel Plant,4.4,335,Iron & Steel Industry,,Durgapur
Housing Technology Consultants,3.6,"1,716",Architecture firm,,Durgapur
Gowebbi,3.4,82,Website designer,"UCP, 016, Ambedkar Sarani",Durgapur
"DURGAPUR THERMAL POWER STATION (DTPS), Durgapur",4.2,90,Thermal Energy Company,,Durgapur
Max Life Insurance Co. Ltd.,3.8,83,Insurance company,"Ist, N /36, Shahid Khudiram Sarani, Above Punjab National Bank",Durgapur
Educational Excellence,4.9,76,Internet marketing service,"13/5, Vidyapati Rd",Durgapur
DURGAPUR MUNICIPAL CORPORATION,,,,,Durgapur
Suraj Furniture,3.7,3,Furniture maker,,Durgapur
KADA MORE,4.1,59,Housing development,,Durgapur
Durgapur WB,,,Housing society,,Durgapur
