Company_name,ration,user_review,Type,region
National Insurance - Durgachak-Haldia Office,3.9,-36.0,Insurance company,haldia
URAL India Ltd.,2.4,-9.0,Manufacturer,haldia
South Gate # Haldia Pertochemicals Ltd.,5.0,-2.0,Chemical Manufacturer,haldia
"IOCL HALDIA ADMINISTRATIVE BUILDING, HALDIA",,,Oil refinery,haldia
Petro Carbon & Chemicals Pvt. Ltd.,3.4,-8.0,Chemical Manufacturer,haldia
Haldia Energy Limited,4.2,-442.0,Power station,haldia
HALDIA INFORMATION TECHNOLOGIES,4.0,-4.0,Software company,haldia
Haldia Food Supplier,,,Food products supplier,haldia
Ms National Steel Furniture,,,Steel fabricator,haldia
Indorama India Pvt. Ltd.,4.2,-87.0,Chemical plant,haldia
HPL,4.4,-22.0,Chemical plant,haldia
Haldia Pertochemicals Ltd. Gate 3,4.3,-20.0,Logistics service,haldia
Power Plant (Haldia Petrochemicals Ltd.),4.0,-4.0,Power station,haldia
The New India Assurance Co. Ltd.,4.2,-40.0,Insurance company,haldia
"HINDUSTAN COLAS PRIVATE LIMITED (Formerly known as Hindustan Colas Ltd), HINCOL",4.3,-8.0,Manufacturer,haldia
Noble Enterprise,3.3,-7.0,Warehouse,haldia
Export & Import Company,5.0,-2.0,Corporate office,haldia
Dr. Sujan Kumar Bala ( National Teacher ),5.0,-1.0,Housing complex,haldia
LTC GROUP OF CO.,3.9,-131.0,Real Estate Builders & Construction Company,haldia
RUC Industrial Solutions Pvt. Ltd.,4.3,-26.0,Industrial equipment supplier,haldia
HALDIA DEVELOPMENT CONSTRUCTION,5.0,-3.0,General contractor,haldia
Tractors India Private Limited - Haldia,4.5,-4.0,Office supply store,haldia
Maity Bhaban,,,Housing complex,haldia
Five Star Engineering Works,,,Iron works,haldia
Indian Oil Corporation Ltd Haldia Refinery,4.3,-226.0,Oil refinery,haldia
Premanandam Stores,5.0,-2.0,Digital printer,haldia
SM ENTERPRISE,,,Real Estate Builders & Construction Company,haldia
Chemical Mess,4.6,-9.0,Night club,haldia
RANA ENTERPRISE,,,Supplier,haldia
JAIDADA ENG. & TECHNO SURVEY,5.0,-1.0,Real estate surveyor,haldia
IPPL Bottling Plant Haldia,4.1,-124.0,Industrial consultant,haldia
Radhamadhab fiber house রাধামাধব ফাইবার হাউস,5.0,-3.0,PVC industry,haldia
Ruchi infrastructure Ltd(unit-2),3.5,-2.0,Storage facility,haldia
Lalbaba Seamless Tubes Pvt. Ltd.,4.2,-41.0,Pipe Manufacturer,haldia
Haldia Dock Complex,4.2,-229.0,Port operating company,haldia
Ali Baba Cargo Line,5.0,-1.0,Transportation service,haldia
Samriddi's,,,Jewelry store,haldia
Ashok Leyland Limited - ATS,4.3,-28.0,Truck dealer,haldia
HALDIA TYRE POINT,3.9,-52.0,Tire shop,haldia
Haldia Development Authority,4.1,-64.0,Economic development agency,haldia
KRL Enterprise,5.0,-2.0,Water purification company,haldia
RUPSA,,,Wholesaler,haldia
North Gate # Haldia Pertochemicals Ltd.,3.1,-7.0,Petrochemical engineering service,haldia
Tapon Pramanik,,,Carpenter,haldia
Susanta samanta,,,Hydraulic equipment supplier,haldia
HALDIA INDUSTIRAL ESTATE,,,Corporate office,haldia
premier logistics,2.0,-1.0,Logistics service,haldia
AK COMMUNICATION,,,Supplier,haldia
SN ENTERPRISE,,,Electronics repair shop,haldia
Maa kali furniture,,,Furniture maker,haldia
Life Insurance Corporation Of India,,,Insurance agency,haldia
RANI ROADWAYS,,,Office space rental agency,haldia
Janapiya book binding house,5.0,-1.0,Bookbinder,haldia
K B Talinink,1.0,-1.0,Electronics store,haldia
Surajit Home,,,Home builder,haldia
NATIONAL SEEDS FOUNDATION,5.0,-1.0,Software company,durgapur
National Insurance Co Ltd,3.9,-143.0,Insurance company,durgapur
National Transport Company,4.1,-10.0,Transportation service,durgapur
National Insurance,3.3,-4.0,Insurance company,durgapur
National Sports,4.8,-6.0,Sports Accessories Wholesaler,durgapur
National Insurance,4.3,-3.0,Insurance company,durgapur
