company_name,company_type,Location,review,no_user_review
Maketick Solutions India Pvt. Ltd.,Software company,"Omega Building, Bengal Intelligent Park, Plot:a2,M2 & N2, Block EP & GP, Sector – 5, Salt Lake Electronics Complex",,
Brahmaputra Metallics Limited,Metal fabricator,"BC 250, Sector 1, SaltLake",5.0,-2
Metalogic Systems Pvt Ltd,Software company,"1, 1",,
NRI FT India,Software company,"Salt Lake Electronics Complex, PS Srijan Corporate Park, 22nd Floor, Tower-1",4.4,-166
ASA International India Microfinance Limited,Financial institution,"GN 37/2, Victoria Park, 4th Floor, Sector 5",4.4,-26
Wipro Limited,Corporate office,2,3.8,-6
IKF Technologies Ltd,Internet service provider,"J-1/12, Indo Japan Building, Sector V, EP - GP Block, Salt Lake City",3.2,-156
Kolkata West Bengal,Warehouse,HCG8+RPR,,
Imagine Tech Park,Real Estate Builders & Construction Company,"OFFICE-1, GODREJ WATERSIDE, Street No. 13",,
Colliers International Kolkata,Real estate agency,"PS Srijan Corporate Park, 14th Floor GP-2, Block EP & GP, Salt Lake, Sector V",4.1,-39
Tata Consultancy Services,Computer support and services,700091 DN 54 and 55,4.5,-156
eRevMax - RateTiger Hotel Channel Manager,Software company,"12th Floor, Tower A, DLF IT Park Block, AF, 08, Major Arterial Road (South East Extension)",4.2,-39
Wipro Tower 1,Corporate office,"Plot no 1, 7, 8 & 9, Block DM, Sector V, Salt Lake",4.5,-64
mjunction services limited,E-commerce service,"Tower 1, Godrej Waterside, 3rd Floor",4.6,-258
Multinational Industries Limited,Corporate office,"24, Madhusudan Banerjee Rd",5.0,-2
Deloitte Shared Services India LLP,Financial audit,"Bengal Intelligent Park, OMEGA, 13th & 14th Floor",4.7,-12
CRYSTAL INTERNATIONAL COMPANY,Real Estate Builders & Construction Company,"ROOM NO. 203, ANNAPURNA BUILDING, Lord Sinha Road",5.0,-5
Mnc Companies,,"2, Dr M.L.K. Sarani Rd",,
Birla Sugar,Corporate office,"9/1, R.N. Mukherjee Road, Birla Building, 5th Floor",4.1,-7
Wipro Limited,Software company,"1, 7, 8 & 9, Street No. 13",4.4,"-4,085"
Sealdah,Raja Bazar,,,
Cognizant Technology Solutions,Software company,"Cognizant GTP Campus, SEZ Plot No. IT 27, PIN- 743502",4.2,"-1,937"
MNC Traders,Electronics store,"SHOP NO -22, SP Market, 3, Dent Mission Rd, near Fancy Market",4.9,-40
India Glycols Limited,Company,"2nd Floor, Rawdon Chamber, 11-a, Sarojini Naidu Sarani, Sarojini Naidu Sarani",5.0,-2
AECOM Limited,Office,"1st Floor, Tower C, #8, Major Arterial Road(East-West)",4.6,-57
Titan World,Watch store,"12/1B, Lindsay St, opposite Manyavar Showroom",4.6,"-2,325"
Synotrix Global,Software company,"Merlin Matrix, Block DN-10, Salt Lake, Sector V",2.9,-10
OV International Services Pvt Ltd,Software company,"8th Floor, GN 34/1",3.4,-5
IBM BCS Building,Software company,"HCCM+RQH, Street Number 20",4.6,-770
Ontrack Systems Limited,Software company,"Block-EPY18, Sector-5, Salt Lake",4.0,-1
RS Software India Ltd.,Software company,"11th Floor, Adventz Infinity",4.2,"-2,689"
Indus Net Technologies,Software company,"4th Floor, SDF Building Saltlake Electronic Complex",4.3,-391
Starlite Infotech Ltd,Software company,"Godrej Waterside Block DP, 5th Floor Sector-V, Salt Lake City",,
Endue Technologies India Pvt Ltd,Software company,"SDF BUILDING, Fifth Floor, Module No 615,",5.0,-4
Algonics Systems Pvt. Ltd.,Software company,"2nd Floor, SDF Building",3.7,-28
