Company_name,review,no_review,type,region
Systron Building,4.1,56,Corporate office,bidhannagar
DHL Smart Trucking East Regional Office,,,Corporate office,bidhannagar
Second Vivekananda Bridge Tollway Company Private Limited (Corporate Office),1.0,2,Corporate office,bidhannagar
BIZOFLY INDIA PVT LTD,3.7,3,Corporate office,bidhannagar
Signet Tower,4.0,210,Corporate office,bidhannagar
"Godrej Waterside - Tower 2, Kolkata",4.5,"1,471",Corporate office,bidhannagar
3rd.Life,3.5,88,Corporate office,bidhannagar
PTI Building,4.1,54,Corporate office,bidhannagar
Eternity Building,4.1,156,Corporate office,bidhannagar
"Jio Regional Office, Kolkata",4.1,144,Corporate office,bidhannagar
Om Innovation,2.8,78,Corporate office,bidhannagar
Acknit Industries Limited,4.3,9,Corporate office,bidhannagar
USV Private Limited Kolkata Regional Office,4.0,23,Corporate office,bidhannagar
Pauro Bhaban,4.7,3,Corporate office,bidhannagar
Teleminds Infotech Pvt. Ltd.,3.2,270,Corporate office,bidhannagar
Linc Pen & Plastics Pvt Ltd,4.9,12,Corporate office,bidhannagar
Merlin Infinite,4.4,"1,330",Corporate office,bidhannagar
RT NETWORK SOLUTIONS PVT LTD,3.9,64,Corporate office,bidhannagar
Indorama Industries Limited,5.0,1,Corporate office,bidhannagar
Hiranmaye Energy Limited,,,Corporate office,bidhannagar
Baazar Kolkata Head Office,4.2,83,Corporate office,bidhannagar
Primarc Tower,4.1,200,Corporate office,bidhannagar
ACCE GLOBAL SOFTWARE,3.9,133,Corporate office,bidhannagar
Cloud Vista Services,3.8,48,Corporate office,bidhannagar
Soffront Software Pvt Ltd,4.0,27,Corporate office,bidhannagar
Regaal Resources Limited,4.4,23,Corporate office,bidhannagar
Sterling and Wilson Ltd.,4.3,124,Corporate office,bidhannagar
Press Trust Of India (PTI) Eastern Region HQ,4.0,4,Corporate office,bidhannagar
HDFC Sales Corporate Office,4.6,16,Corporate office,bidhannagar
Imagine Techpark,4.2,6,Corporate office,bidhannagar
Godrej Genesis,3.7,"1,260",Building design company,bidhannagar
Shilpangan,4.0,196,Corporate office,bidhannagar
Deloitte Haskins & Sells,4.8,19,Corporate office,bidhannagar
Srijan Techpark,4.3,"1,739",Corporate office,bidhannagar
Sidco Global Tower,4.1,106,Corporate office,bidhannagar
GPT Group,4.4,134,Corporate office,bidhannagar
The Meridian,3.9,95,Corporate office,bidhannagar
EPTISA,4.2,39,Corporate office,bidhannagar
Zucol Group (Locus Rags),3.2,56,Corporate office,bidhannagar
Reliance Jio Office,3.4,22,Back Office,darjeeling
"LIC of India, Branch Office",3.7,40,Insurance company,darjeeling
Max Life Insurance,3.5,19,Insurance company,darjeeling
Bajaj Allianz Life Insurance Company Limited,3.6,27,Life insurance agency,darjeeling
Ecom Express,2.2,171,Logistics service,darjeeling
Airtel Store,3.6,58,Telecommunications service provider,darjeeling
Clubside Tours and Travels Pvt. Ltd.,4.5,56,Travel agency,darjeeling
Bajaj Finserv Service Branch,5.0,1,Financial institution,darjeeling
Darjeeling Times,2.5,2,Media company,darjeeling
Ashmita Trek & Tours,4.6,268,Tour operator,darjeeling
BLUE DART / DHL,2.4,46,Courier service,darjeeling
Garg Bhawan,,,Housing complex,darjeeling
DTDC COURIER SERVICE DARJEELING,1.7,13,Courier service,darjeeling
Post Office Bazar,3.9,9,Post office,darjeeling
Happy Valley Tea Estate,4.4,"2,227",Garden,darjeeling
Hotel lalit cottage Darjeeling,5.0,1,Apartment building,darjeeling
Moktan La Dhim,1.0,2,Apartment building,darjeeling
Heyagriva the comfort Everest Home stay,4.9,411,2-star hotel,darjeeling
Prayas Services (Vodafone Store),1.5,2,Electronics store,darjeeling
Anutri Hill Resort,4.6,676,Hotel,darjeeling
CISF CAMP (UNIT TLD -III) Darjeeling,4.3,7,Government office,darjeeling
Nepal Curio House,3.4,20,Antique store,darjeeling
MJB Group,4.2,23,Corporate office,darjeeling
Darjeeling,,,West Bengal,darjeeling
Glenburn Tea Estate,4.8,894,3-star hotel,darjeeling
Darjiling,,,West Bengal,darjeeling
Bhola Bhawan,5.0,1,Condominium complex,darjeeling
Pineridge Travels,4.3,6,Travel agency,darjeeling
Ingram Durgapur,3.7,7,Corporate office,durgapur
